Frequency (Hz)	Level (dB)
804.931641	-76.731689
805.664063	-74.397758
806.396484	-74.052567
807.128906	-76.652039
807.861328	-75.819321
808.593750	-76.448486
809.326172	-76.325539
810.058594	-75.800163
810.791016	-74.707336
811.523438	-74.199226
812.255859	-74.664665
812.988281	-76.041878
813.720703	-73.453583
814.453125	-70.930374
815.185547	-71.907822
815.917969	-72.655769
816.650391	-69.051826
817.382813	-67.469681
818.115234	-64.075264
818.847656	-58.559265
819.580078	-54.833019
820.312500	-54.311047
821.044922	-53.934437
821.777344	-54.832645
822.509766	-58.336784
823.242188	-62.298107
823.974609	-66.269875
824.707031	-68.623711
825.439453	-70.241547
826.171875	-71.681000
826.904297	-72.362534
827.636719	-71.591591
828.369141	-72.119881
829.101563	-72.395958
829.833984	-73.199554
830.566406	-74.633545
831.298828	-74.184868
832.031250	-73.924843
832.763672	-72.969093
833.496094	-72.735352
834.228516	-71.734451
834.960938	-70.422913
835.693359	-70.647461
836.425781	-71.143875
837.158203	-70.506096
837.890625	-71.114815
838.623047	-72.489281
839.355469	-70.772133
840.087891	-71.037857
840.820313	-71.760460
841.552734	-71.395950
842.285156	-69.490097
843.017578	-70.473145
843.750000	-69.559814
844.482422	-70.995232
845.214844	-71.742920
845.947266	-70.683472
846.679688	-68.948898
847.412109	-70.018509
848.144531	-70.095894
848.876953	-71.894440
849.609375	-69.338943
850.341797	-68.106461
851.074219	-69.446266
851.806641	-70.107651
852.539063	-71.807549
853.271484	-73.628723
854.003906	-72.133781
854.736328	-67.627083
855.468750	-67.445160
856.201172	-66.762360
856.933594	-67.138870
857.666016	-67.070175
858.398438	-67.338066
859.130859	-65.725418
859.863281	-64.194748
860.595703	-64.298676
861.328125	-63.118305
862.060547	-61.879871
862.792969	-59.004562
863.525391	-56.348850
864.257813	-56.222248
864.990234	-58.549488
865.722656	-60.104366
866.455078	-61.765575
867.187500	-66.121582
867.919922	-68.616676
868.652344	-68.297722
869.384766	-70.726974
870.117188	-70.820221
870.849609	-70.384720
871.582031	-72.049973
872.314453	-73.269165
873.046875	-71.846283
873.779297	-70.903328
874.511719	-73.028366
875.244141	-75.156754
875.976563	-76.026787
876.708984	-73.227669
877.441406	-74.486031
878.173828	-76.762558
878.906250	-78.640388
879.638672	-78.064178
880.371094	-74.174706
881.103516	-74.227028
881.835938	-73.945648
882.568359	-73.980469
883.300781	-76.061005
884.033203	-75.576927
884.765625	-75.992859
885.498047	-76.756645
886.230469	-75.743965
886.962891	-74.708244
887.695313	-75.314362
888.427734	-78.358429
889.160156	-76.521828
889.892578	-76.115860
890.625000	-76.730995
891.357422	-77.660927
892.089844	-76.742386
892.822266	-77.422623
893.554688	-77.063423
894.287109	-76.334229
895.019531	-74.490280
895.751953	-75.041328
896.484375	-77.591988
897.216797	-76.869133
897.949219	-76.681000
898.681641	-74.525734
899.414063	-76.499069
900.146484	-76.120331
900.878906	-75.679855
901.611328	-73.524200
902.343750	-73.747223
903.076172	-69.656372
903.808594	-63.806396
904.541016	-57.366070
905.273438	-50.114586
906.005859	-46.688187
906.738281	-46.358025
907.470703	-45.940838
908.203125	-46.677315
908.935547	-49.984539
909.667969	-55.749519
910.400391	-60.436340
911.132813	-66.015419
911.865234	-68.837723
912.597656	-71.621567
913.330078	-73.613686
914.062500	-73.186028
914.794922	-72.761993
915.527344	-73.119591
916.259766	-74.308563
916.992188	-73.391617
917.724609	-73.021332
918.457031	-72.987877
919.189453	-74.145729
919.921875	-73.662674
920.654297	-72.200195
921.386719	-74.392151
922.119141	-75.163773
922.851563	-74.552528
923.583984	-75.732201
924.316406	-77.147911
925.048828	-77.198425
925.781250	-75.272743
926.513672	-74.866570
927.246094	-73.490288
