Frequency (Hz)	Level (dB)
639.404297	-84.425156
640.136719	-80.561523
640.869141	-77.573906
641.601563	-77.895454
642.333984	-74.133331
643.066406	-71.596725
643.798828	-72.117775
644.531250	-79.675423
645.263672	-81.505005
645.996094	-81.752686
646.728516	-82.221817
647.460938	-82.516289
648.193359	-81.725746
648.925781	-81.627876
649.658203	-83.360001
650.390625	-83.257507
651.123047	-82.552986
651.855469	-82.765213
652.587891	-83.424141
653.320313	-82.986244
654.052734	-82.628128
654.785156	-84.286705
655.517578	-85.251343
656.250000	-82.379456
656.982422	-82.922775
657.714844	-83.766983
658.447266	-84.503510
659.179688	-82.613655
659.912109	-82.648155
660.644531	-83.783020
661.376953	-82.637527
662.109375	-84.495522
662.841797	-84.294952
663.574219	-84.542099
664.306641	-85.400383
665.039063	-84.416458
665.771484	-81.041222
666.503906	-82.043076
667.236328	-82.966141
667.968750	-82.444908
668.701172	-83.583405
669.433594	-85.268448
670.166016	-83.422913
670.898438	-82.955429
671.630859	-81.475060
672.363281	-83.024887
673.095703	-85.019180
673.828125	-84.487862
674.560547	-83.281059
675.292969	-83.664360
676.025391	-82.155838
676.757813	-80.901840
677.490234	-82.207787
678.222656	-82.687820
678.955078	-81.688156
679.687500	-83.130333
680.419922	-85.207962
681.152344	-83.912842
681.884766	-83.269501
682.617188	-85.169907
683.349609	-88.659744
684.082031	-85.560402
684.814453	-83.107506
685.546875	-82.420181
686.279297	-82.955383
687.011719	-83.174026
687.744141	-84.766922
688.476563	-86.357422
689.208984	-87.061516
689.941406	-85.141510
690.673828	-85.250572
691.406250	-83.688766
692.138672	-83.494621
692.871094	-83.494781
693.603516	-82.800163
694.335938	-82.981537
695.068359	-82.930603
695.800781	-85.260445
696.533203	-85.276138
697.265625	-83.157944
697.998047	-83.239578
698.730469	-84.650528
699.462891	-86.084969
700.195313	-85.006187
700.927734	-86.033714
701.660156	-86.612389
702.392578	-84.846214
703.125000	-83.175224
703.857422	-83.153961
704.589844	-83.194420
705.322266	-82.356125
706.054688	-84.946297
706.787109	-84.017349
707.519531	-84.393967
708.251953	-82.381287
708.984375	-83.621422
709.716797	-84.165115
710.449219	-81.400085
711.181641	-81.990448
711.914063	-83.654114
712.646484	-84.314262
713.378906	-83.856850
714.111328	-84.958458
714.843750	-82.629745
715.576172	-83.795990
716.308594	-85.558884
717.041016	-86.892540
717.773438	-87.066277
718.505859	-82.941536
719.238281	-81.762024
719.970703	-82.892593
720.703125	-82.480148
721.435547	-82.943680
722.167969	-84.481644
722.900391	-85.410805
723.632813	-86.033470
724.365234	-84.307251
725.097656	-81.448799
725.830078	-80.878403
726.562500	-83.871742
727.294922	-85.508621
728.027344	-84.221306
728.759766	-83.511070
729.492188	-83.832161
730.224609	-83.518944
730.957031	-82.650558
731.689453	-81.730736
732.421875	-80.960930
733.154297	-81.982025
733.886719	-82.260262
734.619141	-80.796593
735.351563	-81.365158
736.083984	-82.554100
736.816406	-84.062012
737.548828	-84.708961
738.281250	-82.521255
739.013672	-79.897957
739.746094	-81.151245
740.478516	-81.393501
741.210938	-79.959885
741.943359	-74.507843
742.675781	-77.699043
743.408203	-80.413170
744.140625	-75.658028
744.873047	-74.787720
745.605469	-78.961678
746.337891	-83.197716
747.070313	-83.113182
747.802734	-82.188789
748.535156	-81.592644
749.267578	-83.296036
750.000000	-83.867165
750.732422	-83.890610
751.464844	-82.228371
752.197266	-79.922905
752.929688	-80.943909
753.662109	-82.630028
754.394531	-82.810081
755.126953	-83.814240
755.859375	-84.076355
756.591797	-84.850502
757.324219	-86.187958
758.056641	-85.247177
758.789063	-85.013969
759.521484	-83.866531
760.253906	-81.421738
760.986328	-82.915230
761.718750	-84.196365
762.451172	-85.077080
763.183594	-83.870537
763.916016	-83.088562
764.648438	-81.045769
765.380859	-82.458191
766.113281	-82.381287
766.845703	-82.546341
767.578125	-83.566620
768.310547	-86.818367
769.042969	-87.637291
769.775391	-85.039787
770.507813	-84.920090
771.240234	-88.551323
771.972656	-85.039291
772.705078	-82.359428
773.437500	-84.423431
774.169922	-83.838989
774.902344	-79.445351
775.634766	-72.251686
776.367188	-74.055115
777.099609	-75.774895
777.832031	-71.315109
778.564453	-70.417473
779.296875	-71.282234
780.029297	-78.644188
780.761719	-85.466980
781.494141	-85.424873
782.226563	-86.058502
782.958984	-86.742416
783.691406	-89.086273
784.423828	-89.711464
785.156250	-88.893501
785.888672	-88.059975
786.621094	-85.566696
787.353516	-87.099167
788.085938	-85.494545
788.818359	-83.895401
789.550781	-86.774345
790.283203	-84.728798
791.015625	-83.726837
791.748047	-84.560669
792.480469	-84.065994
793.212891	-83.268715
793.945313	-80.204163
794.677734	-78.189995
795.410156	-79.833809
796.142578	-82.383125
796.875000	-81.454895
797.607422	-79.481407
798.339844	-79.120811
799.072266	-79.599976
799.804688	-79.346436
800.537109	-80.236809
801.269531	-81.735245
802.001953	-82.184875
802.734375	-84.443275
803.466797	-84.484886
804.199219	-86.474609
804.931641	-87.187233
805.664063	-84.861053
806.396484	-85.848045
807.128906	-85.225060
807.861328	-84.253349
808.593750	-79.857841
809.326172	-72.071404
810.058594	-73.534508
810.791016	-77.209862
811.523438	-72.492439
812.255859	-71.131233
812.988281	-70.876183
813.720703	-76.002876
814.453125	-85.538231
815.185547	-85.624786
815.917969	-86.530396
816.650391	-86.808929
817.382813	-85.255829
818.115234	-84.129440
818.847656	-85.598480
819.580078	-85.003258
820.312500	-85.594452
821.044922	-85.716995
821.777344	-86.264015
822.509766	-85.291542
823.242188	-84.739838
823.974609	-86.978592
824.707031	-91.180084
825.439453	-90.022942
826.171875	-87.312706
826.904297	-87.519341
827.636719	-89.971680
828.369141	-87.784149
829.101563	-87.030815
829.833984	-87.961655
830.566406	-88.111176
831.298828	-87.784515
832.031250	-86.966270
832.763672	-86.773033
833.496094	-86.620544
834.228516	-87.994270
834.960938	-87.760658
835.693359	-87.067924
836.425781	-84.213341
837.158203	-81.432350
837.890625	-81.649788
838.623047	-81.125587
839.355469	-82.731644
840.087891	-81.520309
840.820313	-81.280396
841.552734	-83.488403
842.285156	-81.277901
843.017578	-74.078682
843.750000	-75.272858
844.482422	-80.012611
845.214844	-75.745560
845.947266	-73.261131
846.679688	-72.335136
847.412109	-75.352798
848.144531	-82.097008
848.876953	-84.627518
849.609375	-83.364037
850.341797	-83.228020
851.074219	-84.980080
851.806641	-85.335426
852.539063	-86.209427
853.271484	-84.207283
854.003906	-86.197456
854.736328	-86.498489
855.468750	-83.716812
856.201172	-84.025650
856.933594	-83.672234
857.666016	-84.965645
858.398438	-81.081207
859.130859	-82.839851
859.863281	-84.017868
860.595703	-86.113434
861.328125	-86.332405
862.060547	-86.080643
862.792969	-86.506203
863.525391	-87.290604
864.257813	-86.974045
864.990234	-87.660278
865.722656	-88.571609
866.455078	-87.802361
867.187500	-85.370506
867.919922	-86.510155
868.652344	-87.935486
869.384766	-89.279396
870.117188	-87.582130
870.849609	-89.690102
871.582031	-87.949974
872.314453	-86.894501
873.046875	-87.832016
873.779297	-86.598991
874.511719	-84.413635
875.244141	-84.445908
875.976563	-79.198410
876.708984	-70.289948
877.441406	-70.522781
878.173828	-74.901817
878.906250	-70.898720
879.638672	-68.985161
880.371094	-67.526169
881.103516	-69.122887
881.835938	-76.048630
882.568359	-79.008644
883.300781	-80.417465
884.033203	-79.787941
884.765625	-77.851730
885.498047	-78.909851
886.230469	-80.828545
886.962891	-82.739029
887.695313	-81.501022
888.427734	-81.742630
889.160156	-82.008141
889.892578	-80.311920
890.625000	-80.336235
891.357422	-80.212685
892.089844	-78.997948
892.822266	-79.644814
893.554688	-80.456360
894.287109	-77.882851
895.019531	-78.991417
895.751953	-79.913177
896.484375	-80.141991
897.216797	-81.762520
897.949219	-80.627892
898.681641	-79.762070
899.414063	-82.003471
900.146484	-83.402039
900.878906	-83.965256
901.611328	-84.266167
902.343750	-84.874161
903.076172	-86.712326
903.808594	-84.996155
904.541016	-86.006104
905.273438	-88.054688
906.005859	-86.015388
906.738281	-85.672668
907.470703	-85.529968
908.203125	-84.438354
908.935547	-85.395882
909.667969	-80.920380
910.400391	-70.646019
911.132813	-70.688667
911.865234	-77.124458
912.597656	-73.271286
913.330078	-70.980690
914.062500	-70.406212
914.794922	-71.275948
915.527344	-78.352425
916.259766	-86.080475
916.992188	-86.996162
917.724609	-86.362732
918.457031	-87.262421
919.189453	-87.800529
919.921875	-87.458794
920.654297	-87.159279
921.386719	-84.953026
922.119141	-85.668465
922.851563	-85.207886
923.583984	-85.638687
924.316406	-86.073570
925.048828	-85.253357
925.781250	-87.032196
926.513672	-86.172668
927.246094	-85.494370
